MUNICIPALITY: Commune;TIME_PERIOD: Période;OBS_VALUE
C230: Dudelange;2017;4137.27832
C240: Echternach;2017;3779.740234
C250: Ell;2017;4814.304199
C270: Erpeldange-sur-Sûre;2017;4732.31543
C280: Esch-sur-Alzette;2017;3639.947021
C290: Esch-sur-Sûre;2017;3933.81958
C300: Ettelbruck;2017;3732.964111
C310: Feulen;2017;4262.955566
C320: Fischbach;2017;5161.428223
C330: Flaxweiler;2017;5258.40918
C340: Frisange;2017;5542.85791
C350: Garnich;2017;5737.65625
C360: Goesdorf;2017;4326.78418
C370: Grevenmacher;2017;4393.119141
C380: Grosbous;2017;3879.149414
C390: Habscht;2017;4951.54248
C400: Heffingen;2017;5220.52832
C410: Helperknapp;2017;5226.262695
C420: Hesperange;2017;6440.893555
C430: Hobscheid;2017;
C440: Junglinster;2017;6091.364258
C460: Käerjeng;2017;4906.44043
C470: Kayl;2017;3925.812988
C480: Kehlen;2017;6427.911133
C490: Kiischpelt;2017;3916.570313
C500: Koerich;2017;5705.520996
C510: Kopstal;2017;8329.652344
C520: Lac de la Haute-Sûre;2017;4218.458984
C530: Larochette;2017;3789.606445
C540: Lenningen;2017;5669.11084
C550: Leudelange;2017;6606.455566
C560: Lintgen;2017;4555.962891
C570: Lorentzweiler;2017;5241.812988
C580: Luxembourg;2017;6908.370117
C590: Mamer;2017;6460.397461
C600: Manternach;2017;4874.717773
C610: Mersch;2017;4329.565918
C620: Mertert;2017;4138.775879
C630: Mertzig;2017;4408.783691
C640: Mompach;2017;
C650: Mondercange;2017;5382.061035
C660: Mondorf-les-Bains;2017;4406.17627
C670: Niederanven;2017;8662.139648
C680: Nommern;2017;4914.051758
C690: Parc Hosingen;2017;4026.775146
C700: Pétange;2017;3467.866211
C710: Préizerdaul;2017;4596.727539
C720: Putscheid;2017;4163.062012
C730: Rambrouch;2017;4283.828125
C740: Reckange-sur-Mess;2017;6134.5625
C750: Redange/Attert;2017;4587.350586
C760: Reisdorf;2017;3410.76709
C770: Remich;2017;4039.146973
C780: Roeser;2017;5099.626953
C790: Rosport;2017;
C800: Rosport-Mompach;2017;4332.744141
C810: Rumelange;2017;3584.079346
C820: Saeul;2017;4794.135742
C830: Sandweiler;2017;6198.160156
C840: Sanem;2017;4392.189941
C850: Schengen;2017;4879.697754
C860: Schieren;2017;4129.947754
C870: Schifflange;2017;3956.219238
C880: Schuttrange;2017;7292.289063
C890: Septfontaines;2017;
C900: Stadtbredimus;2017;4853.67627
C910: Steinfort;2017;4980.248535
C920: Steinsel;2017;6293.974121
C930: Strassen;2017;7439.839844
C940: Tandel;2017;4016.432129
C950: Troisvierges;2017;3757.376709
C960: Tuntange;2017;
C970: Useldange;2017;4648.316895
C980: Vallée de l'Ernz;2017;3919.672852
C990: Vianden;2017;3452.885254
C010: Beaufort;2018;3749.425293
C020: Bech;2018;5390.526367
C030: Beckerich;2018;4749.214844
C040: Berdorf;2018;4155.003418
C050: Bertrange;2018;7325.524902
C060: Bettembourg;2018;4418.134766
C070: Bettendorf;2018;3749.006104
C080: Betzdorf;2018;6272.012695
C090: Bissen;2018;4459.746094
C100: Biwer;2018;5446.750488
C1000: Vichten;2018;4111.931152
C1010: Wahl;2018;4412.488281
C1020: Waldbillig;2018;5192.786621
C1030: Waldbredimus;2018;5368.404785
C1040: Walferdange;2018;5988.856934
C1050: Weiler-la-Tour;2018;7276.461426
C1060: Weiswampach;2018;3870.394531
C1070: Wiltz;2018;3284.327148
C1080: Wincrange;2018;3909.375
C1090: Winseler;2018;4669.913086
C110: Boevange-sur-Attert;2018;
C1100: Wormeldange;2018;4967.208496
C120: Boulaide;2018;3957.287598
C130: Bourscheid;2018;3968.395508
C140: Bous;2018;5062.105957
C150: Clervaux;2018;3811.456787
C160: Colmar-Berg;2018;4262.344238
C170: Consdorf;2018;4458.441895
C180: Contern;2018;6510.922852
C190: Dalheim;2018;4757.336914
C200: Diekirch;2018;3937.423096
C210: Differdange;2018;3203.874756
C220: Dippach;2018;6037.303223
C230: Dudelange;2018;4100.914551
C240: Echternach;2018;3664.435059
C250: Ell;2018;4874.73584
C270: Erpeldange-sur-Sûre;2018;4864.617188
C280: Esch-sur-Alzette;2018;3500.968262
C290: Esch-sur-Sûre;2018;4032.176514
C300: Ettelbruck;2018;3660.631836
C310: Feulen;2018;4398.911621
C320: Fischbach;2018;5387.303711
C330: Flaxweiler;2018;5299.429688
C340: Frisange;2018;5218.797852
C350: Garnich;2018;5873.67627
C360: Goesdorf;2018;4464.024414
C370: Grevenmacher;2018;4492.207031
C380: Grosbous;2018;4019.905273
C390: Habscht;2018;5036.148438
C400: Heffingen;2018;4906.333496
C410: Helperknapp;2018;5128.781738
C420: Hesperange;2018;6357.316895
C430: Hobscheid;2018;
C440: Junglinster;2018;6313.399902
C460: Käerjeng;2018;4926.457031
C470: Kayl;2018;3883.013672
C480: Kehlen;2018;6618.407227
C490: Kiischpelt;2018;4031.187988
C500: Koerich;2018;5682.966309
C510: Kopstal;2018;8042.347168
C520: Lac de la Haute-Sûre;2018;4288.114258
C530: Larochette;2018;3609.153809
C540: Lenningen;2018;5542.543457
C550: Leudelange;2018;6838.276855
C560: Lintgen;2018;4643.915527
C570: Lorentzweiler;2018;5751.062012
C580: Luxembourg;2018;6898.290039
C590: Mamer;2018;6928.681641
C600: Manternach;2018;4913.902344
C610: Mersch;2018;4413.80127
C620: Mertert;2018;4121.058594
C630: Mertzig;2018;4669.118652
C640: Mompach;2018;
C650: Mondercange;2018;5341.54541
C660: Mondorf-les-Bains;2018;4358.255859
C670: Niederanven;2018;9059.121094
C680: Nommern;2018;4977.746582
C690: Parc Hosingen;2018;4158.364258
C700: Pétange;2018;3404.845703
C710: Préizerdaul;2018;4595.930664
C720: Putscheid;2018;4366.450684
C730: Rambrouch;2018;4328.704102
C740: Reckange-sur-Mess;2018;6032.044922
C750: Redange/Attert;2018;4957.900391
C760: Reisdorf;2018;3406.77417
C770: Remich;2018;4008.254883
C780: Roeser;2018;5247.428711
C790: Rosport;2018;
C800: Rosport-Mompach;2018;4410.5
C810: Rumelange;2018;3416.396484
C820: Saeul;2018;4984.845215
C830: Sandweiler;2018;6640.394043
C840: Sanem;2018;4345.688477
C850: Schengen;2018;4801.448242
C860: Schieren;2018;4366.640137
C870: Schifflange;2018;3822.701172
C880: Schuttrange;2018;7048.384766
C890: Septfontaines;2018;
C900: Stadtbredimus;2018;4822.682129
C910: Steinfort;2018;4988.239258
C920: Steinsel;2018;6811.504883
C930: Strassen;2018;7744.587402
C940: Tandel;2018;4083.766602
C950: Troisvierges;2018;3700.779297
C960: Tuntange;2018;
C970: Useldange;2018;4693.841797
C980: Vallée de l'Ernz;2018;4151.521973
C990: Vianden;2018;3444.501221
C010: Beaufort;2019;3899.488525
C020: Bech;2019;5400.973633
C030: Beckerich;2019;5008.398438
C040: Berdorf;2019;4359.584961
C050: Bertrange;2019;7743.178711
C060: Bettembourg;2019;4709.888184
C070: Bettendorf;2019;3962.730713
C080: Betzdorf;2019;6896.63623
C090: Bissen;2019;4632.344238
C100: Biwer;2019;5821.882324
C1000: Vichten;2019;4296.572266
C1010: Wahl;2019;4624.544922
C1020: Waldbillig;2019;5536.285156
C1030: Waldbredimus;2019;5741.955078
C1040: Walferdange;2019;6289.457031
C1050: Weiler-la-Tour;2019;7455.885742
C1060: Weiswampach;2019;4204.123535
C1070: Wiltz;2019;3386.782227
C1080: Wincrange;2019;3968.622314
C1090: Winseler;2019;4750.416504
C110: Boevange-sur-Attert;2019;
C1100: Wormeldange;2019;4943.946777
C120: Boulaide;2019;4218.095215
C130: Bourscheid;2019;4232.055176
C140: Bous;2019;5180.658203
C150: Clervaux;2019;3910.19043
C160: Colmar-Berg;2019;4413.154785
C170: Consdorf;2019;4697.229492
C180: Contern;2019;7221.547363
C190: Dalheim;2019;4828.833984
C200: Diekirch;2019;4088.674316
C210: Differdange;2019;3373.320068
C220: Dippach;2019;5706.11377
C230: Dudelange;2019;4253.840332
C240: Echternach;2019;3767.704346
C250: Ell;2019;5024.707031
C270: Erpeldange-sur-Sûre;2019;5069.862793
C280: Esch-sur-Alzette;2019;3640.095947
C290: Esch-sur-Sûre;2019;4201.308594
C300: Ettelbruck;2019;3801.08252
C310: Feulen;2019;4468.864258
C320: Fischbach;2019;5335.075195
C330: Flaxweiler;2019;5545.946777
C340: Frisange;2019;5505.09668
C350: Garnich;2019;6193.055176
C360: Goesdorf;2019;4584.13623
C370: Grevenmacher;2019;4534.947754
C380: Grosbous;2019;4235.687988
C390: Habscht;2019;5180.859863
C400: Heffingen;2019;5199.737793
C410: Helperknapp;2019;5371.758789
C420: Hesperange;2019;6780.997559
C430: Hobscheid;2019;
C440: Junglinster;2019;6251.335449
C460: Käerjeng;2019;5103.188477
C470: Kayl;2019;4058.5
C480: Kehlen;2019;6837.981445
C490: Kiischpelt;2019;4221.169922
C500: Koerich;2019;5953.439941
C510: Kopstal;2019;8931.395508
C520: Lac de la Haute-Sûre;2019;4466.797363
C530: Larochette;2019;3810.252441
C540: Lenningen;2019;5778.874023
C550: Leudelange;2019;7219.952148
C560: Lintgen;2019;4622.592285
C570: Lorentzweiler;2019;5848.620117
C580: Luxembourg;2019;7201.240234
C590: Mamer;2019;6957.189941
C600: Manternach;2019;5127.834961
C610: Mersch;2019;4686.873535
C620: Mertert;2019;4475.359863
C630: Mertzig;2019;4791.262207
C640: Mompach;2019;
C650: Mondercange;2019;5523.14209
C660: Mondorf-les-Bains;2019;4575.433594
C670: Niederanven;2019;9288.53418
C680: Nommern;2019;5142.162598
C690: Parc Hosingen;2019;4323.651367
C700: Pétange;2019;3503.777344
C710: Préizerdaul;2019;4850.537598
C720: Putscheid;2019;4522.082031
C730: Rambrouch;2019;4474.012695
C740: Reckange-sur-Mess;2019;6327.513672
C750: Redange/Attert;2019;4913.453613
C760: Reisdorf;2019;3485.24292
C770: Remich;2019;4284.755371
C780: Roeser;2019;5589.898438
C790: Rosport;2019;
C800: Rosport-Mompach;2019;4957.780762
C810: Rumelange;2019;3486.97998
C820: Saeul;2019;5226.883301
C830: Sandweiler;2019;7021.969727
C840: Sanem;2019;4483.24707
C850: Schengen;2019;5085.675293
C860: Schieren;2019;4548.431641
C870: Schifflange;2019;4008.652344
C880: Schuttrange;2019;7562.865234
C890: Septfontaines;2019;
C900: Stadtbredimus;2019;5036.640137
C910: Steinfort;2019;5350.097168
C920: Steinsel;2019;6802.766602
C930: Strassen;2019;8028.495605
C940: Tandel;2019;4267.110352
C950: Troisvierges;2019;3760.516357
C960: Tuntange;2019;
C970: Useldange;2019;4736.939941
C980: Vallée de l'Ernz;2019;4042.113281
C990: Vianden;2019;3570.965088
C010: Beaufort;2020;4026.850342
C020: Bech;2020;6086.056152
C030: Beckerich;2020;5321.45166
C040: Berdorf;2020;4852.564941
C050: Bertrange;2020;8365.760742
C060: Bettembourg;2020;5109.827148
C070: Bettendorf;2020;4186.188477
C080: Betzdorf;2020;7478.677246
C090: Bissen;2020;4986.933105
C100: Biwer;2020;6669.90918
C1000: Vichten;2020;4550.756348
C1010: Wahl;2020;5055.067871
C1020: Waldbillig;2020;5790.796875
C1030: Waldbredimus;2020;6336.069336
C1040: Walferdange;2020;6846.024414
C1050: Weiler-la-Tour;2020;7528.405273
C1060: Weiswampach;2020;4484.203613
C1070: Wiltz;2020;3683.202637
C1080: Wincrange;2020;4240.674805
C1090: Winseler;2020;5244.481445
C110: Boevange-sur-Attert;2020;
C1100: Wormeldange;2020;5382.595703
C120: Boulaide;2020;4391.595215
C130: Bourscheid;2020;4634.232422
C140: Bous;2020;5430.674805
C150: Clervaux;2020;4245.154297
C160: Colmar-Berg;2020;4633.315918
C170: Consdorf;2020;4848.137207
C180: Contern;2020;7803.903809
C190: Dalheim;2020;5339.554688
C200: Diekirch;2020;4490.531738
C210: Differdange;2020;3596.12793
C220: Dippach;2020;5989.30127
C230: Dudelange;2020;4577.879883
C240: Echternach;2020;4237.290527
C250: Ell;2020;5354.154785
C270: Erpeldange-sur-Sûre;2020;5454.131348
C280: Esch-sur-Alzette;2020;3976.798584
C290: Esch-sur-Sûre;2020;4570.031738
C300: Ettelbruck;2020;4383.802246
C310: Feulen;2020;4788.177246
C320: Fischbach;2020;5713.405762
C330: Flaxweiler;2020;5983.021973
C340: Frisange;2020;5991.287598
C350: Garnich;2020;6798.510742
C360: Goesdorf;2020;5044.697754
C370: Grevenmacher;2020;4984.060059
C380: Grosbous;2020;4484.358887
C390: Habscht;2020;5695.654785
C400: Heffingen;2020;5874.779785
C410: Helperknapp;2020;5840.203125
C420: Hesperange;2020;7191.736816
C430: Hobscheid;2020;
C440: Junglinster;2020;6932.748535
C460: Käerjeng;2020;5462.229004
C470: Kayl;2020;4417.007324
C480: Kehlen;2020;7429.616211
C490: Kiischpelt;2020;4414.471191
C500: Koerich;2020;6436.109863
C510: Kopstal;2020;9493.630859
C520: Lac de la Haute-Sûre;2020;4830.840332
C530: Larochette;2020;4015.862793
C540: Lenningen;2020;6370.044434
C550: Leudelange;2020;8262.144531
C560: Lintgen;2020;5252.969727
C570: Lorentzweiler;2020;6188.213867
C580: Luxembourg;2020;7800.301758
C590: Mamer;2020;7616.164063
C600: Manternach;2020;5391.284668
C610: Mersch;2020;5132.111328
C620: Mertert;2020;4951.287598
C630: Mertzig;2020;5008.439941
C640: Mompach;2020;
C650: Mondercange;2020;6006.395508
C660: Mondorf-les-Bains;2020;5196.666504
C670: Niederanven;2020;10287.08984
C680: Nommern;2020;5653.354492
C690: Parc Hosingen;2020;4617.534668
C700: Pétange;2020;3668.163086
C710: Préizerdaul;2020;4940.463379
C720: Putscheid;2020;5301.589844
C730: Rambrouch;2020;4762.308594
C740: Reckange-sur-Mess;2020;6850.198242
C750: Redange/Attert;2020;5154.09668
C760: Reisdorf;2020;3747.004883
C770: Remich;2020;4770.272461
C780: Roeser;2020;6096.844727
C790: Rosport;2020;
C800: Rosport-Mompach;2020;5220.384766
C810: Rumelange;2020;3764.251221
C820: Saeul;2020;5667.672363
C830: Sandweiler;2020;7560.964844
C840: Sanem;2020;4788.433105
C850: Schengen;2020;5393.812988
C860: Schieren;2020;4772.293457
C870: Schifflange;2020;4262.130371
C880: Schuttrange;2020;8696.581055
C890: Septfontaines;2020;
C900: Stadtbredimus;2020;5479.907715
C910: Steinfort;2020;5815.874512
C920: Steinsel;2020;7485.991211
C930: Strassen;2020;8799.290039
C940: Tandel;2020;4593.693848
C950: Troisvierges;2020;4126.553223
C960: Tuntange;2020;
C970: Useldange;2020;5012.38623
