Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Remich;38;6 173 €;3670 € - 8346 €;25;9 040 €;8339 € - 10089 €
Roeser;46;7 564 €;5785 € - 8886 €;36;8 726 €;7222 € - 9880 €
Rosport-Mompach;4;*;*;0;*;*
Rumelange;31;5 613 €;3882 € - 8179 €;0;*;*
Saeul;4;*;*;0;*;*
Sandweiler;22;7 510 €;5661 € - 9003 €;6;*;*
Sanem;101;6 185 €;3921 € - 8214 €;41;7 029 €;5849 € - 8384 €
Schengen;29;5 799 €;3965 € - 7885 €;1;*;*
Schieren;8;*;*;21;6 001 €;4636 € - 6726 €
Schifflange;110;7 321 €;4947 € - 9592 €;4;*;*
Schuttrange;12;7 413 €;4602 € - 8980 €;1;*;*
Stadtbredimus;16;5 738 €;2780 € - 8678 €;4;*;*
Steinfort;15;6 793 €;5048 € - 9533 €;16;7 155 €;6350 € - 7654 €
Steinsel;24;7 478 €;5131 € - 9165 €;21;8 656 €;7088 € - 9490 €
Strassen;60;9 683 €;6186 € - 12134 €;53;9 771 €;8173 € - 12654 €
Tandel;9;*;*;0;*;*
Troisvierges;9;*;*;3;*;*
Useldange;3;*;*;17;5 598 €;3611 € - 6589 €
Vallée de l'Ernz;8;*;*;4;*;*
Vianden;10;4 871 €;2929 € - 6840 €;0;*;*
Vichten;7;*;*;0;*;*
Wahl;1;*;*;0;*;*
Waldbillig;5;*;*;0;*;*
Waldbredimus;1;*;*;7;*;*
Walferdange;35;8 745 €;5399 € - 12661 €;66;10 297 €;8393 € - 12624 €
Weiler-la-Tour;11;7 396 €;4554 € - 9335 €;9;*;*
Weiswampach;22;4 604 €;4018 € - 5356 €;97;4 676 €;3623 € - 5868 €
Wiltz;40;4 133 €;2899 € - 6037 €;23;4 387 €;3753 € - 5009 €
Wincrange;2;*;*;0;*;*
Winseler;2;*;*;6;*;*
Wormeldange;14;5 849 €;4003 € - 7510 €;13;7 284 €;5934 € - 8671 €
