Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Leudelange;10;7 445 €;5398 € - 10581 €;0;*;*
Lintgen;20;5 385 €;3541 € - 6756 €;25;6 496 €;5197 € - 7702 €
Lorentzweiler;15;6 574 €;4871 € - 8154 €;23;7 300 €;5488 € - 8520 €
Luxembourg-Ville;544;9 029 €;6111 € - 12528 €;488;9 565 €;7296 € - 13071 €
Mamer;29;6 360 €;3697 € - 7801 €;59;7 251 €;6367 € - 8543 €
Manternach;0;*;*;2;*;*
Mersch;42;5 391 €;3648 € - 7648 €;22;6 694 €;5683 € - 8112 €
Mertert;24;5 054 €;4476 € - 5847 €;16;6 113 €;5608 € - 8263 €
Mertzig;4;*;*;2;*;*
Mondercange;38;5 628 €;3828 € - 7429 €;20;6 802 €;5953 € - 7879 €
Mondorf-les-Bains;46;5 799 €;4301 € - 7270 €;15;6 863 €;5992 € - 7730 €
Niederanven;4;*;*;10;7 985 €;6846 € - 11222 €
Nommern;1;*;*;0;*;*
Parc Hosingen;17;3 735 €;2252 € - 5487 €;2;*;*
Petange;158;4 968 €;3424 € - 6523 €;97;5 556 €;4232 € - 6854 €
Preizerdaul;0;*;*;0;*;*
Putscheid;0;*;*;0;*;*
Rambrouch;6;*;*;4;*;*
Reckange-sur-Mess;9;*;*;0;*;*
Redange;6;*;*;21;4 612 €;3527 € - 5236 €
Reisdorf;2;*;*;0;*;*
Remich;38;4 989 €;2967 € - 7526 €;0;*;*
Roeser;50;6 254 €;5006 € - 7740 €;11;7 231 €;6440 € - 7674 €
Rosport-Mompach;3;*;*;0;*;*
Rumelange;40;4 821 €;3342 € - 6847 €;0;*;*
Saeul;7;*;*;0;*;*
Sandweiler;18;6 698 €;4498 € - 8144 €;0;*;*
Sanem;87;5 191 €;3969 € - 6645 €;86;6 556 €;5739 € - 7351 €
Schengen;31;4 913 €;2341 € - 7395 €;3;*;*
Schieren;7;*;*;13;5 860 €;4835 € - 7349 €
Schifflange;95;5 885 €;3967 € - 7748 €;26;6 549 €;5750 € - 7189 €
Schuttrange;9;*;*;6;*;*
Stadtbredimus;15;4 869 €;3541 € - 6797 €;0;*;*
Steinfort;13;5 164 €;3502 € - 6099 €;41;6 350 €;5402 € - 7050 €
Steinsel;10;6 497 €;3854 € - 8956 €;5;*;*
Strassen;51;8 374 €;5674 € - 12720 €;40;8 927 €;7869 € - 10006 €
Tandel;8;*;*;0;*;*
Troisvierges;5;*;*;15;4 104 €;3446 € - 4857 €
Useldange;5;*;*;8;*;*
Vallée de l'Ernz;8;*;*;0;*;*
Vianden;4;*;*;0;*;*
Vichten;1;*;*;0;*;*
Wahl;2;*;*;0;*;*
Waldbillig;1;*;*;0;*;*
Waldbredimus;1;*;*;8;*;*
Walferdange;43;6 734 €;5190 € - 7707 €;34;8 543 €;6763 € - 9503 €
Weiler-la-Tour;12;6 359 €;4922 € - 11586 €;0;*;*
Weiswampach;20;4 309 €;3123 € - 6893 €;15;4 549 €;3609 € - 5677 €
Wiltz;38;3 944 €;2559 € - 5433 €;12;4 518 €;3870 € - 5031 €
Wincrange;3;*;*;0;*;*
Winseler;7;*;*;0;*;*
Wormeldange;13;5 202 €;3246 € - 8498 €;13;5 694 €;5014 € - 6660 €
